domain	subset	idx	label	sentence1	sentence2	file
SMTeuroparl	2012train	82	4.0	The labelling of beef that was agreed on, which is a minimum form of labelling and only came into force two and a half months ago, does not make it possible for the origin of animals to be adequately traced, and we were very slow to ban specified risk materials.	The labelling of beef and veal, which has been decided, which is a minimum and which is in force for two and a half months, does not make it possible to trace the origin of the animals properly and we have banned well late at risk.  	sts-mt
SMTeuroparl	2012test	100	4.5	Selective aid, such as market support and a grass subsidy, are essential.	Specific assistances like the support of the market or the premium with grass are essential.	sts-mt
SMTeuroparl	2012train	728	5.0	The aim of the annual review is to identify such potential improvements.	The annual report is designed to identify such potential improvements.	sts-mt
SMTeuroparl	2012test	109	4.5	Selective aid, such as market support and a grass subsidy, are essential.	The occasional aid as the support of the market or the premium to grass is essential.	sts-mt
SMTeuroparl	2012train	138	4.4	It is gratifying that Parliament has succeeded in producing a large majority in favour of more openness.	We must welcome the fact that Parliament has managed to gather a large majority in favour of greater transparency.	sts-mt
SMTeuroparl	2012train	7	4.8	One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.	They can in fact wish to more and better, but I think that it is a good start.  	sts-mt
SMTeuroparl	2012test	300	5.0	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support Latvia on the issue of the integration of the Russian population.	sts-mt
postediting	2016	2192	4.0	"While no result had yet been announced, many young people came to demonstrate against the power of President Alexander Lukashenko: ""The dictator, resign""."	"While no result had not yet been announced, many young people were came to demonstrate against the power of President Alexander Lukashenko: ""The dictator, resignation""."	sts-mt
surprise.SMTnews	2012test	204	4.75	And, perhaps most importantly, Ahmadinejad is a destabilizing influence; Bernanke is not.	And, perhaps most importantly, Ahmadinejad has an influence, not destabilizing Bernanke.	sts-mt
SMTeuroparl	2012train	489	4.8	From the first discussions on this dossier, which were held at European level at the initiative of the European Parliament, the Commission has given a commitment to the Member States to pursue a course of action designed to develop what we might call a European police culture, grounded in the highest standards of duty, respect for the rights and freedoms of our citizens and efficiency in the fight against crime.	Since the first thoughts on this issue, which were held at European level on the initiative of the European Parliament, the Commission is committed to Member States to promote an action intended to develop what we could consider a European police culture, focused on the highest standards in terms of ethics, human rights and freedoms, and efficiency in the fight against crime.	sts-mt
surprise.SMTnews	2012test	372	4.75	Pro-market economists don't object to corporations that blatantly use snob appeal to promote their products.	The economists pro-market do not oppose the companies which openly use the attraction of the luxury to promote their products.	sts-mt
SMTeuroparl	2012train	308	4.2	Firstly, simplification and clarification of the Treaties.	Firstly, that of a simplification of the Treaties.  	sts-mt
